"Date of Download: 2024-05-09_18:25:51"
"Search Parameters: Data Level:all  Trait List:  Trial List:11752,11828  Accession List:  Plot List:  Plant List:  Location List:  Year List:  Include Timestamp:0  Trait Contains:  Minimum Phenotype:   Maximum Phenotype:  Exclude Phenotype Outlier: 0"

"studyYear","programDbId","programName","programDescription","studyDbId","studyName","studyDescription","studyDesign","plotWidth","plotLength","fieldSize","fieldTrialIsPlannedToBeGenotyped","fieldTrialIsPlannedToCross","plantingDate","harvestDate","locationDbId","locationName","germplasmDbId","germplasmName","germplasmSynonyms","observationLevel","observationUnitDbId","observationUnitName","replicate","blockNumber","plotNumber","rowNumber","colNumber","entryType","plantNumber","branching level counting|CO_334:0000079","cassava bacterial blight severity 3-month evaluation|CO_334:0000175","dry matter content by specific gravity method|CO_334:0000160","first apical branch height measurement in cm|CO_334:0000106","fresh root yield|CO_334:0000013","fresh storage root weight per plot|CO_334:0000012","initial plant vigor assessment 1-5|CO_334:0000220","lodged plants estimation 1-3|CO_334:0000301","lodged plants estimation 1-3|month 6|COMP:0000208","marketable root number counting|CO_334:0000169","number of planted stakes per plant counting|CO_334:0000300","number of planted stakes per plot counting|CO_334:0000159","plant architecture visual rating 1-5|CO_334:0000099","plant height measurement in cm|CO_334:0000018","plant height with leaf in cm|CO_334:0000123","plant stands harvested counting|CO_334:0000010","root color visual rating 1-3|CO_334:0000221","root constriction visual rating 1-3|CO_334:0000109","root evaluation scaled 1-5|CO_334:0000228","root length evaluation scaled 1-3|CO_334:0000226","root weight in air|CO_334:0000157","root weight in water|CO_334:0000158","rotted storage root counting|CO_334:0000084","sprout count discrete counting|CO_334:0000138","storage root neck length visual rating 1-3|CO_334:0000223","storage root shape visual rating 1-6|CO_334:0000020","thrips severity : visual 1-5|CO_334:0002084","total carotenoid by chart 1-8|CO_334:0000161","notes"
"2023","174","CIAT","CIAT cassava breeding, Cali, Colombia","11752","202330BCEPR_stom","202330BCEPR_stom","RCBD","3.2","4","","no","no","2023-July-07","2024-April-03","52","Santo Tomas. Atlantico, Colombia","5003606","GM13919A-5","","plot","6761627","202330BCEPR_stom_rep1_GM13919A-5_20","1","1","20","2","11","test","","4","1","","90","3.25520833333333","2.5","4","1","","","8","10","3","290","20","1","3","1","2","3","","","2","2","1","3","1","5"," (Operator: lizbethpino, Time: )"
"2023","174","CIAT","CIAT cassava breeding, Cali, Colombia","11752","202330BCEPR_stom","202330BCEPR_stom","RCBD","3.2","4","","no","no","2023-July-07","2024-April-03","52","Santo Tomas. Atlantico, Colombia","5003613","GM14007A-1","","plot","6761483","202330BCEPR_stom_rep1_GM14007A-1_39","1","1","39","3","9","test","","","","","","","","","","","","","10","","","","","","","","","","","","0","","","",""," (Operator: lizbethpino, Time: )"
"2023","174","CIAT","CIAT cassava breeding, Cali, Colombia","11752","202330BCEPR_stom","202330BCEPR_stom","RCBD","3.2","4","","no","no","2023-July-07","2024-April-03","52","Santo Tomas. Atlantico, Colombia","5003615","GM14007A-3","","plot","6761467","202330BCEPR_stom_rep1_GM14007A-3_132","1","1","132","9","12","test","","4","2","21.8846613545817","130","11.71875","9","4","1","","","10","10","3","280","20","2","2","1","2","3","4940","171","0","4","1","2","1","5"," (Operator: lizbethpino, Time: )"
"2023","174","CIAT","CIAT cassava breeding, Cali, Colombia","11752","202330BCEPR_stom","202330BCEPR_stom","RCBD","3.2","4","","no","no","2023-July-07","2024-April-03","52","Santo Tomas. Atlantico, Colombia","5003616","GM14007A-4","","plot","6761553","202330BCEPR_stom_rep1_GM14007A-4_122","1","1","122","9","2","test","","","","","","","","","","","","","10","","","","","","","","","","","","0","","","",""," (Operator: lizbethpino, Time: )"
"2023","174","CIAT","CIAT cassava breeding, Cali, Colombia","11752","202330BCEPR_stom","202330BCEPR_stom","RCBD","3.2","4","","no","no","2023-July-07","2024-April-03","52","Santo Tomas. Atlantico, Colombia","5003617","GM14007A-5","","plot","6761459","202330BCEPR_stom_rep1_GM14007A-5_53","1","1","53","4","8","test","","3","1","19.3199126637554","100","9.89583333333333","7.6","4","1","","","9","10","3","260","30","1","2","1","1","3","4670","90","0","1","1","3","1","5"," (Operator: lizbethpino, Time: )"
"2023","174","CIAT","CIAT cassava breeding, Cali, Colombia","11752","202330BCEPR_stom","202330BCEPR_stom","RCBD","3.2","4","","no","no","2023-July-07","2024-April-03","52","Santo Tomas. Atlantico, Colombia","5003637","GM14012A-6","","plot","6761404","202330BCEPR_stom_rep1_GM14012A-6_16","1","1","16","2","15","test","","3","1","26.132784272051","125","7.29166666666666","5.6","4","1","","","10","10","3","290","20","3","3","1","2","3","5000","295","2","6","2","3","1","5"," (Operator: lizbethpino, Time: )"
"2023","174","CIAT","CIAT cassava breeding, Cali, Colombia","11752","202330BCEPR_stom","202330BCEPR_stom","RCBD","3.2","4","","no","no","2023-July-07","2024-April-03","52","Santo Tomas. Atlantico, Colombia","5003649","GM14017A-1","","plot","6761559","202330BCEPR_stom_rep1_GM14017A-1_31","1","1","31","3","1","test","","1","1","18.1544337606837","225","15.234375","11.7","5","1","","","10","10","1","300","30","6","3","1","2","3","3790","46","2","9","1","3","4","5"," (Operator: lizbethpino, Time: )"
"2023","174","CIAT","CIAT cassava breeding, Cali, Colombia","11752","202330BCEPR_stom","202330BCEPR_stom","RCBD","3.2","4","","no","no","2023-July-07","2024-April-03","52","Santo Tomas. Atlantico, Colombia","5003654","GM14017A-6","","plot","6761534","202330BCEPR_stom_rep1_GM14017A-6_108","1","1","108","8","13","test","","3","1","19.0780798208104","155","8.984375","6.9","5","1","","","10","10","2","300","20","2","3","1","2","3","5000","89","0","2","1","2","1","5"," (Operator: lizbethpino, Time: )"
"2023","174","CIAT","CIAT cassava breeding, Cali, Colombia","11752","202330BCEPR_stom","202330BCEPR_stom","RCBD","3.2","4","","no","no","2023-July-07","2024-April-03","52","Santo Tomas. Atlantico, Colombia","5003655","GM14017A-7","","plot","6761626","202330BCEPR_stom_rep1_GM14017A-7_44","1","1","44","3","14","test","","3","1","20.4735090950956","175","15.3645833333333","11.8","4","1","","","8","10","3","270","30","3","3","1","1","3","4460","117","1","4","1","3","1","5"," (Operator: lizbethpino, Time: )"
"2023","174","CIAT","CIAT cassava breeding, Cali, Colombia","11752","202330BCEPR_stom","202330BCEPR_stom","RCBD","3.2","4","","no","no","2023-July-07","2024-April-03","52","Santo Tomas. Atlantico, Colombia","5084269","GM14019B-6","","plot","6761572","202330BCEPR_stom_rep1_GM14019B-6_48","1","1","48","4","13","test","","","","","","","","","","","","","10","","","","","","","","","","","","0","","","",""," (Operator: lizbethpino, Time: )"
"2023","174","CIAT","CIAT cassava breeding, Cali, Colombia","11752","202330BCEPR_stom","202330BCEPR_stom","RCBD","3.2","4","","no","no","2023-July-07","2024-April-03","52","Santo Tomas. Atlantico, Colombia","5003676","GM14028A-1","","plot","6761638","202330BCEPR_stom_rep1_GM14028A-1_102","1","1","102","7","12","test","","","","","","","","","","","","","10","","","","","","","","","","","","0","","","",""," (Operator: lizbethpino, Time: )"
"2023","174","CIAT","CIAT cassava breeding, Cali, Colombia","11752","202330BCEPR_stom","202330BCEPR_stom","RCBD","3.2","4","","no","no","2023-July-07","2024-April-03","52","Santo Tomas. Atlantico, Colombia","5003677","GM14030A-1","","plot","6761621","202330BCEPR_stom_rep1_GM14030A-1_72","1","1","72","5","12","test","","","","","","","","","","","","","10","","","","","","","","","","","","0","","","",""," (Operator: lizbethpino, Time: )"
"2023","174","CIAT","CIAT cassava breeding, Cali, Colombia","11752","202330BCEPR_stom","202330BCEPR_stom","RCBD","3.2","4","","no","no","2023-July-07","2024-April-03","52","Santo Tomas. Atlantico, Colombia","5003678","GM14030A-2","","plot","6761623","202330BCEPR_stom_rep1_GM14030A-2_30","1","1","30","2","1","test","","","1","","","","","4","","","","","10","","","","","","","","","","","","0","","","1",""," (Operator: lizbethpino, Time: )"
"2023","174","CIAT","CIAT cassava breeding, Cali, Colombia","11752","202330BCEPR_stom","202330BCEPR_stom","RCBD","3.2","4","","no","no","2023-July-07","2024-April-03","52","Santo Tomas. Atlantico, Colombia","5084274","GM14043A-12","","plot","6761416","202330BCEPR_stom_rep1_GM14043A-12_66","1","1","66","5","6","test","","1","1","26.5269066893907","140","13.8020833333333","10.6","4","1","","","9","10","2","240","30","4","3","1","2","3","5000","306","1","6","2","2","1","5"," (Operator: lizbethpino, Time: )"
"2023","174","CIAT","CIAT cassava breeding, Cali, Colombia","11752","202330BCEPR_stom","202330BCEPR_stom","RCBD","3.2","4","","no","no","2023-July-07","2024-April-03","52","Santo Tomas. Atlantico, Colombia","5003699","GM14043A-8","","plot","6761469","202330BCEPR_stom_rep1_GM14043A-8_57","1","1","57","4","4","test","","2","1","24.8689189189189","95","1.82291666666667","1.4","4","1","","","6","10","3","250","20","1","3","1","3","3","1600","83","0","2","1","3","1","5"," (Operator: lizbethpino, Time: )"
"2023","174","CIAT","CIAT cassava breeding, Cali, Colombia","11752","202330BCEPR_stom","202330BCEPR_stom","RCBD","3.2","4","","no","no","2023-July-07","2024-April-03","52","Santo Tomas. Atlantico, Colombia","5003703","GM14043B-3","","plot","6761659","202330BCEPR_stom_rep1_GM14043B-3_46","1","1","46","4","15","test","","0","1","23.1739861949957","260","15.625","12","4","1","","","10","10","1","260","30","6","3","1","2","3","4840","204","0","9","1","2","1","5"," (Operator: lizbethpino, Time: )"
"2023","174","CIAT","CIAT cassava breeding, Cali, Colombia","11752","202330BCEPR_stom","202330BCEPR_stom","RCBD","3.2","4","","no","no","2023-July-07","2024-April-03","52","Santo Tomas. Atlantico, Colombia","5003715","GM14095A-2","","plot","6761420","202330BCEPR_stom_rep1_GM14095A-2_3","1","1","3","1","3","test","","","","","","","","","","","","","10","","","","","","","","","","","","0","","","",""," (Operator: lizbethpino, Time: )"
"2023","174","CIAT","CIAT cassava breeding, Cali, Colombia","11752","202330BCEPR_stom","202330BCEPR_stom","RCBD","3.2","4","","no","no","2023-July-07","2024-April-03","52","Santo Tomas. Atlantico, Colombia","5003716","GM14095A-3","","plot","6761609","202330BCEPR_stom_rep1_GM14095A-3_117","1","1","117","8","4","test","","2","3","27.6164944458796","90","11.0677083333333","8.5","4","1","","","10","10","2","270","40","2","3","2","2","3","4150","279","0","3","1","3","1","5"," (Operator: lizbethpino, Time: )"
"2023","174","CIAT","CIAT cassava breeding, Cali, Colombia","11752","202330BCEPR_stom","202330BCEPR_stom","RCBD","3.2","4","","no","no","2023-July-07","2024-April-03","52","Santo Tomas. Atlantico, Colombia","5003717","GM14097A-1","","plot","6761535","202330BCEPR_stom_rep1_GM14097A-1_78","1","1","78","6","13","test","","","","","","","","","","","","","10","","","","","","","","","","","","0","","","",""," (Operator: lizbethpino, Time: )"
"2023","174","CIAT","CIAT cassava breeding, Cali, Colombia","11752","202330BCEPR_stom","202330BCEPR_stom","RCBD","3.2","4","","no","no","2023-July-07","2024-April-03","52","Santo Tomas. Atlantico, Colombia","5003724","GM14099A-1","","plot","6761457","202330BCEPR_stom_rep1_GM14099A-1_106","1","1","106","8","15","test","","0","1","16.5271543086172","280","16.9270833333333","13","5","2","","","12","10","2","280","40","6","1","1","2","3","5000","10","0","9","1","3","1","5"," (Operator: lizbethpino, Time: )"
"2023","174","CIAT","CIAT cassava breeding, Cali, Colombia","11752","202330BCEPR_stom","202330BCEPR_stom","RCBD","3.2","4","","no","no","2023-July-07","2024-April-03","52","Santo Tomas. Atlantico, Colombia","5003726","GM14099A-11","","plot","6761394","202330BCEPR_stom_rep1_GM14099A-11_62","1","1","62","5","2","test","","2","1","26.0335496813783","125","16.9270833333333","13","4","1","","","10","10","2","245","30","5","3","2","2","3","4500","263","0","8","1","2","1","5"," (Operator: lizbethpino, Time: )"
"2023","174","CIAT","CIAT cassava breeding, Cali, Colombia","11752","202330BCEPR_stom","202330BCEPR_stom","RCBD","3.2","4","","no","no","2023-July-07","2024-April-03","52","Santo Tomas. Atlantico, Colombia","5003727","GM14099A-12","","plot","6761472","202330BCEPR_stom_rep1_GM14099A-12_4","1","1","4","1","4","test","","0","1","20.4989865634252","270","11.71875","9","4","2","","","8","10","3","270","50","6","3","1","2","2","4510","119","1","9","1","2","1","5"," (Operator: lizbethpino, Time: )"
"2023","174","CIAT","CIAT cassava breeding, Cali, Colombia","11752","202330BCEPR_stom","202330BCEPR_stom","RCBD","3.2","4","","no","no","2023-July-07","2024-April-03","52","Santo Tomas. Atlantico, Colombia","5003738","GM14101A-10","","plot","6761625","202330BCEPR_stom_rep1_GM14101A-10_101","1","1","101","7","11","test","","","","","","","","","","","","","10","","","","","","","","","","","","0","","","",""," (Operator: lizbethpino, Time: )"
"2023","174","CIAT","CIAT cassava breeding, Cali, Colombia","11752","202330BCEPR_stom","202330BCEPR_stom","RCBD","3.2","4","","no","no","2023-July-07","2024-April-03","52","Santo Tomas. Atlantico, Colombia","5003739","GM14101A-11","","plot","6761589","202330BCEPR_stom_rep1_GM14101A-11_107","1","1","107","8","14","test","","0","1","27.2482456140351","330","23.4375","18","5","1","","","12","10","2","330","50","5","3","1","1","2","5000","326","0","10","1","2","1","5"," (Operator: lizbethpino, Time: )"
"2023","174","CIAT","CIAT cassava breeding, Cali, Colombia","11752","202330BCEPR_stom","202330BCEPR_stom","RCBD","3.2","4","","no","no","2023-July-07","2024-April-03","52","Santo Tomas. Atlantico, Colombia","5003741","GM14101A-3","","plot","6761433","202330BCEPR_stom_rep1_GM14101A-3_49","1","1","49","4","12","test","","","","","","","","","","","","","10","","","","","","","","","","","","0","","","",""," (Operator: lizbethpino, Time: )"
"2023","174","CIAT","CIAT cassava breeding, Cali, Colombia","11752","202330BCEPR_stom","202330BCEPR_stom","RCBD","3.2","4","","no","no","2023-July-07","2024-April-03","52","Santo Tomas. Atlantico, Colombia","5003742","GM14101A-4","","plot","6761556","202330BCEPR_stom_rep1_GM14101A-4_112","1","1","112","8","9","test","","","","","","","","","","","","","10","","","","","","","","","","","","0","","","",""," (Operator: lizbethpino, Time: )"
"2023","174","CIAT","CIAT cassava breeding, Cali, Colombia","11752","202330BCEPR_stom","202330BCEPR_stom","RCBD","3.2","4","","no","no","2023-July-07","2024-April-03","52","Santo Tomas. Atlantico, Colombia","5003744","GM14101A-6","","plot","6761491","202330BCEPR_stom_rep1_GM14101A-6_91","1","1","91","7","1","test","","","","","","","","","","","","","10","","","","","","","","","","","","0","","","",""," (Operator: lizbethpino, Time: )"
"2023","174","CIAT","CIAT cassava breeding, Cali, Colombia","11752","202330BCEPR_stom","202330BCEPR_stom","RCBD","3.2","4","","no","no","2023-July-07","2024-April-03","52","Santo Tomas. Atlantico, Colombia","5003745","GM14101A-7","","plot","6761632","202330BCEPR_stom_rep1_GM14101A-7_9","1","1","9","1","9","test","","","","","","","","","","","","","10","","","","","","","","","","","","0","","","",""," (Operator: lizbethpino, Time: )"
"2023","174","CIAT","CIAT cassava breeding, Cali, Colombia","11752","202330BCEPR_stom","202330BCEPR_stom","RCBD","3.2","4","","no","no","2023-July-07","2024-April-03","52","Santo Tomas. Atlantico, Colombia","5003749","GM14102A-10","","plot","6761551","202330BCEPR_stom_rep1_GM14102A-10_129","1","1","129","9","9","test","","3","1","27.1817216679457","195","17.8385416666667","13.7","4","1","","","12","10","1","270","40","5","3","1","1","3","4180","271","0","7","1","2","1","5"," (Operator: lizbethpino, Time: )"
"2023","174","CIAT","CIAT cassava breeding, Cali, Colombia","11752","202330BCEPR_stom","202330BCEPR_stom","RCBD","3.2","4","","no","no","2023-July-07","2024-April-03","52","Santo Tomas. Atlantico, Colombia","5003750","GM14102A-11","","plot","6761402","202330BCEPR_stom_rep1_GM14102A-11_81","1","1","81","6","10","test","","2","1","29.4217584369449","160","4.16666666666667","3.2","3","1","","","8","10","2","240","30","2","3","1","2","3","3050","235","0","3","1","3","1","5"," (Operator: lizbethpino, Time: )"
"2023","174","CIAT","CIAT cassava breeding, Cali, Colombia","11752","202330BCEPR_stom","202330BCEPR_stom","RCBD","3.2","4","","no","no","2023-July-07","2024-April-03","52","Santo Tomas. Atlantico, Colombia","5003751","GM14102A-12","","plot","6761508","202330BCEPR_stom_rep1_GM14102A-12_105","1","1","105","7","15","test","","1","1","25.2110590542602","220","15.4947916666667","11.9","5","1","","","12","10","1","290","40","6","3","1","2","3","4850","261","1","10","1","3","1","5"," (Operator: lizbethpino, Time: )"
"2023","174","CIAT","CIAT cassava breeding, Cali, Colombia","11752","202330BCEPR_stom","202330BCEPR_stom","RCBD","3.2","4","","no","no","2023-July-07","2024-April-03","52","Santo Tomas. Atlantico, Colombia","5003748","GM14102A-1","","plot","6761451","202330BCEPR_stom_rep1_GM14102A-1_84","1","1","84","6","7","test","","","","","","","","","","","","","10","","","","","","","","","","","","0","","","",""," (Operator: lizbethpino, Time: )"
"2023","174","CIAT","CIAT cassava breeding, Cali, Colombia","11752","202330BCEPR_stom","202330BCEPR_stom","RCBD","3.2","4","","no","no","2023-July-07","2024-April-03","52","Santo Tomas. Atlantico, Colombia","5003755","GM14102A-5","","plot","6761403","202330BCEPR_stom_rep1_GM14102A-5_37","1","1","37","3","7","test","","1","1","26.4965524813351","210","22.1354166666667","17","4","1","","","10","10","2","230","30","4","3","1","1","3","4850","296","0","6","1","3","1","5"," (Operator: lizbethpino, Time: )"
"2023","174","CIAT","CIAT cassava breeding, Cali, Colombia","11752","202330BCEPR_stom","202330BCEPR_stom","RCBD","3.2","4","","no","no","2023-July-07","2024-April-03","52","Santo Tomas. Atlantico, Colombia","5003756","GM14102A-6","","plot","6761408","202330BCEPR_stom_rep1_GM14102A-6_27","1","1","27","2","4","test","","3","1","24.3244005901881","155","3.64583333333333","2.8","4","2","","","8","10","3","270","20","5","3","1","3","3","2850","139","5","2","1","2","1","5"," (Operator: lizbethpino, Time: )"
"2023","174","CIAT","CIAT cassava breeding, Cali, Colombia","11752","202330BCEPR_stom","202330BCEPR_stom","RCBD","3.2","4","","no","no","2023-July-07","2024-April-03","52","Santo Tomas. Atlantico, Colombia","5003759","GM14102A-9","","plot","6761450","202330BCEPR_stom_rep1_GM14102A-9_5","1","1","5","1","5","test","","","","","","","","","","","","","10","","","","","","","","","","","","0","","","",""," (Operator: lizbethpino, Time: )"
"2023","174","CIAT","CIAT cassava breeding, Cali, Colombia","11752","202330BCEPR_stom","202330BCEPR_stom","RCBD","3.2","4","","no","no","2023-July-07","2024-April-03","52","Santo Tomas. Atlantico, Colombia","5003760","GM14103A-1","","plot","6761577","202330BCEPR_stom_rep1_GM14103A-1_13","1","1","13","1","13","test","","1","1","21.5083697234352","120","15.1041666666667","11.6","4","1","","","8","10","2","240","30","6","3","1","2","3","4260","138","0","8","1","3","1","5"," (Operator: lizbethpino, Time: )"
"2023","174","CIAT","CIAT cassava breeding, Cali, Colombia","11752","202330BCEPR_stom","202330BCEPR_stom","RCBD","3.2","4","","no","no","2023-July-07","2024-April-03","52","Santo Tomas. Atlantico, Colombia","5003763","GM14103A-12","","plot","6761418","202330BCEPR_stom_rep1_GM14103A-12_131","1","1","131","9","11","test","","1","1","26.3922386988758","80","16.2760416666667","12.5","4","1","","","8","10","3","230","30","5","3","1","2","3","4450","269","1","6","1","2","1","5"," (Operator: lizbethpino, Time: )"
"2023","174","CIAT","CIAT cassava breeding, Cali, Colombia","11752","202330BCEPR_stom","202330BCEPR_stom","RCBD","3.2","4","","no","no","2023-July-07","2024-April-03","52","Santo Tomas. Atlantico, Colombia","5003765","GM14103A-14","","plot","6761445","202330BCEPR_stom_rep1_GM14103A-14_35","1","1","35","3","5","test","","1","1","22.6983778966132","120","3.64583333333333","2.8","4","1","","","8","10","2","290","50","1","3","1","2","3","2920","115","0","1","1","3","1","5"," (Operator: lizbethpino, Time: )"
"2023","174","CIAT","CIAT cassava breeding, Cali, Colombia","11752","202330BCEPR_stom","202330BCEPR_stom","RCBD","3.2","4","","no","no","2023-July-07","2024-April-03","52","Santo Tomas. Atlantico, Colombia","5003767","GM14103A-16","","plot","6761411","202330BCEPR_stom_rep1_GM14103A-16_11","1","1","11","1","11","test","","","","","","","","","","","","","10","","","","","","","","","","","","0","","","",""," (Operator: lizbethpino, Time: )"
"2023","174","CIAT","CIAT cassava breeding, Cali, Colombia","11752","202330BCEPR_stom","202330BCEPR_stom","RCBD","3.2","4","","no","no","2023-July-07","2024-April-03","52","Santo Tomas. Atlantico, Colombia","5003768","GM14103A-17","","plot","6761588","202330BCEPR_stom_rep1_GM14103A-17_6","1","1","6","1","6","test","","","","","","","","","","","","","10","","","","","","","","","","","","0","","","",""," (Operator: lizbethpino, Time: )"
"2023","174","CIAT","CIAT cassava breeding, Cali, Colombia","11752","202330BCEPR_stom","202330BCEPR_stom","RCBD","3.2","4","","no","no","2023-July-07","2024-April-03","52","Santo Tomas. Atlantico, Colombia","5003770","GM14103A-3","","plot","6761549","202330BCEPR_stom_rep1_GM14103A-3_119","1","1","119","8","2","test","","2","1","27.2773770130156","100","20.8333333333333","16","4","1","","","8","10","3","210","30","6","3","1","2","3","4850","317","0","7","1","2","1","5"," (Operator: lizbethpino, Time: )"
